"disease","year","age","country","country_name","cases","dalys","deaths","yll","cohort_size"
"dummy_disease",2000,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2001,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2002,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2003,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2004,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2005,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2006,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2007,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2008,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2009,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2010,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2011,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2012,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2013,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2014,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2015,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2016,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2017,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2018,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2019,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2020,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2021,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2022,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2023,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2024,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2025,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2026,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2027,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2028,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2029,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2030,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2031,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2032,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2033,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2034,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2035,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2036,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2037,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2038,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2039,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2040,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2041,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2042,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2043,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2044,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2045,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2046,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2047,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2048,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2049,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2050,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2051,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2052,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2053,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2054,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2055,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2056,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2057,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2058,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2059,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2060,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2061,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2062,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2063,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2064,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2065,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2066,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2067,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2068,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2069,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2070,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2071,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2072,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2073,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2074,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2075,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2076,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2077,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2078,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2079,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2080,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2081,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2082,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2083,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2084,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2085,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2086,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2087,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2088,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2089,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2090,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2091,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2092,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2093,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2094,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2095,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2096,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2097,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2098,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2099,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2100,0,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2000,1,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2001,1,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2002,1,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2003,1,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2004,1,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2005,1,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2006,1,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2007,1,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2008,1,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2009,1,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2010,1,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2011,1,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2012,1,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2013,1,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2014,1,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2015,1,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2016,1,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2017,1,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2018,1,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2019,1,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2020,1,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2021,1,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2022,1,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2023,1,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2024,1,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2025,1,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2026,1,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2027,1,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2028,1,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2029,1,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2030,1,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2031,1,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2032,1,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2033,1,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2034,1,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2035,1,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2036,1,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2037,1,"RFP","Request for Proposal",NA,NA,NA,NA,NA
"dummy_disease",2038,1,"RFP","Request for Proposal",NA,NA,NA,NA,NA
