choice_subregion,country_name,country,Global.Name,Region.Name,Sub.region,Intermediate.Region.Name,subregion, vimc117
EMR D,Afghanistan,AFG,World,Asia,Southern Asia,,Central and Southern Asia,1
AFR D,Angola,AGO,World,Africa,Sub-Saharan Africa,Middle Africa,Middle Africa,1
EUR B,Albania,ALB,World,Europe,Southern Europe,,Eastern and Southern Europe,1
EUR A,Andorra,AND,World,Europe,Southern Europe,,Eastern and Southern Europe,0
EMR B,United Arab Emirates,ARE,World,Asia,Western Asia,,Northern Africa and Western Asia,0
AMR B,Argentina,ARG,World,Americas,Latin America and the Caribbean,South America,Latin America and the Caribbean,0
EUR B,Armenia,ARM,World,Asia,Western Asia,,Northern Africa and Western Asia,1
AMR B,Antigua and Barbuda,ATG,World,Americas,Latin America and the Caribbean,Caribbean,Latin America and the Caribbean,0
WPR A,Australia,AUS,World,Oceania,Australia and New Zealand,,Oceania,0
EUR A,Austria,AUT,World,Europe,Western Europe,,Northern and Western Europe,0
EUR B,Azerbaijan,AZE,World,Asia,Western Asia,,Northern Africa and Western Asia,1
AFR E,Burundi,BDI,World,Africa,Sub-Saharan Africa,Eastern Africa,Eastern Africa,1
EUR A,Belgium,BEL,World,Europe,Western Europe,,Northern and Western Europe,0
AFR D,Benin,BEN,World,Africa,Sub-Saharan Africa,Western Africa,Western Africa,1
AFR D,Burkina Faso,BFA,World,Africa,Sub-Saharan Africa,Western Africa,Western Africa,1
SEAR D,Bangladesh,BGD,World,Asia,Southern Asia,,Central and Southern Asia,1
EUR B,Bulgaria,BGR,World,Europe,Eastern Europe,,Eastern and Southern Europe,0
EMR B,Bahrain,BHR,World,Asia,Western Asia,,Northern Africa and Western Asia,0
AMR B,Bahamas,BHS,World,Americas,Latin America and the Caribbean,Caribbean,Latin America and the Caribbean,0
EUR B,Bosnia and Herzegovina,BIH,World,Europe,Southern Europe,,Eastern and Southern Europe,1
EUR C,Belarus,BLR,World,Europe,Eastern Europe,,Eastern and Southern Europe,1
AMR B,Belize,BLZ,World,Americas,Latin America and the Caribbean,Central America,Latin America and the Caribbean,1
